"","SubjID","Image.1","Image.2","Image.3","T2.1","T3.1","T4.1","T.7","gender","age","height","weight","education","marriage","wor.env","environmentalist","gov.staff","smoke","T.35.2","fam.income","Location","Image","sub.topic","topic"
"386","D20180113A0948","<U+6C14><U+5019><U+53D8><U+6696>","<U+96FE><U+973E>","<U+6E29><U+5BA4><U+6548><U+5E94>","3","3","3","3","1","60","170","140","3","2",NA,"<U+5426>","0","<U+5426>","1","5","Yangzhou","Image.1.tag","h-1","h"
"387","D20180113A0951","<U+54B3><U+55FD>","<U+54BD><U+708E>","<U+9F3B><U+708E>","2","1","1","4","0","51","157","105","3","2","3",NA,NA,"<U+5426>","0","3","Yangzhou","Image.1.tag","e-2","e"
"388","D20180113A0952","<U+72C2><U+98CE>","<U+6253><U+96F7>","<U+95EA><U+7535>",NA,"1",NA,"1","1","62","160","130","3","2","1",NA,NA,"<U+662F>",NA,"3","Yangzhou","Image.1.tag","s-1","s"
"389","D20180113A0953","<U+6253><U+96F7>","<U+95EA><U+7535>","<U+66B4><U+96E8>","1","1","3","4","0","62","152","92","3","2","3","<U+5426>","0","<U+5426>","0","4","Yangzhou","Image.1.tag","s-1","s"
"390","D20180113A0954","<U+6253><U+96F7>","<U+95EA><U+7535>","<U+66B4><U+96E8>","2","2","3","5","0","71","156","124","5","2","3",NA,"0","<U+5426>","0","4","Yangzhou","Image.1.tag","s-1","s"
"391","D20180113A0955","<U+5C11><U+653E><U+97AD><U+70AE>(<U+4E25><U+7981>)",NA,NA,"2","1","1","4","1","64","176","156","3","2",NA,"<U+5426>","0","<U+662F>","0","3","Yangzhou","Image.1.tag","g-2","g"
"392","D20180113A0956","<U+72C2><U+98CE>","<U+66B4><U+96E8>","<U+70ED><U+6D6A>","2","1","3","3","0","65","168","120","3","2",NA,NA,NA,"<U+5426>","2","5","Yangzhou","Image.1.tag","s-1","s"
"393","D20180113A0958","<U+95EA><U+7535>","<U+5927><U+98CE>",NA,"2","2","3","5","0","71","154","160","1","4","1",NA,NA,"<U+5426>",NA,"3","Yangzhou","Image.1.tag","s-1","s"
"394","D20180113A1000","<U+72C2><U+98CE>","<U+66B4><U+96E8>","<U+70ED><U+6D6A>","1","1",NA,"4","0","29","163","130","6","2","1","<U+5426>","0","<U+5426>","1","4","Yangzhou","Image.1.tag","s-1","s"
"395","D20180113A1020","<U+72C2><U+98CE><U+66B4><U+96E8>","<U+7535><U+95EA><U+96F7><U+9E23>",NA,"1","1","1","3","0","39","160","110","6","2","1","<U+5426>","1","<U+5426>","1","4","Yangzhou","Image.1.tag","s-1","s"
"396","D20180113A1130","<U+4E00><U+53F6><U+77E5><U+79CB>","<U+6EF4><U+6C34><U+6210><U+51B0>","<U+4E4D><U+6696><U+8FD8><U+5BD2>","2","1","2","5","0","31","168","108","7","2","1","<U+5426>","0","<U+5426>","0","3","Yangzhou","Image.1.tag","s-5","s"
